classifier,lambda_bin,n,lambda_mean,jaccard_mean,exact_mean,set_recall_mean
kNN,"(1516.558, 1525.285]",640,1521.872356153125,0.9731249999999999,0.9328125,0.983203125
kNN,"(1525.285, 1529.743]",640,1528.9622860625002,0.96,0.9,0.975
kNN,"(1529.743, 1530.431]",480,1530.2009931833336,0.9466666666666667,0.8666666666666667,0.9666666666666667
kNN,"(1530.431, 1532.269]",640,1531.3836928875003,0.9706250000000001,0.9265625,0.981640625
kNN,"(1532.269, 1533.535]",560,1533.158190755357,1.0,1.0,1.0
kNN,"(1533.535, 1546.196]",560,1542.2780260839288,0.9664285714285715,0.9160714285714285,0.9790178571428572
kNN,"(1546.196, 1547.486]",640,1547.234710057813,0.99,0.975,0.99375
kNN,"(1547.486, 1553.492]",560,1550.9431271321432,0.9799999999999999,0.95,0.9875
kNN,"(1553.492, 1564.206]",720,1562.8603455069447,0.9016666666666667,0.7541666666666667,0.9385416666666667
kNN,"(1564.206, 1580.189]",400,1573.0413352950004,0.963,0.9075,0.976875
SVM,"(1516.558, 1525.285]",640,1521.872356153125,0.985625,0.9640625,0.991015625
SVM,"(1525.285, 1529.743]",640,1528.9622860625002,0.974375,0.9359375,0.983984375
SVM,"(1529.743, 1530.431]",480,1530.2009931833336,0.9658333333333334,0.9145833333333333,0.9786458333333333
SVM,"(1530.431, 1532.269]",640,1531.3836928875003,0.9893750000000001,0.9734375,0.993359375
SVM,"(1532.269, 1533.535]",560,1533.158190755357,0.9978571428571428,0.9946428571428572,0.9986607142857142
SVM,"(1533.535, 1546.196]",560,1542.2780260839288,0.9785714285714285,0.9464285714285714,0.9866071428571429
SVM,"(1546.196, 1547.486]",640,1547.234710057813,0.99,0.975,0.99375
SVM,"(1547.486, 1553.492]",560,1550.9431271321432,0.9828571428571428,0.9571428571428572,0.9892857142857143
SVM,"(1553.492, 1564.206]",720,1562.8603455069447,0.9088888888888889,0.7722222222222223,0.9430555555555555
SVM,"(1564.206, 1580.189]",400,1573.0413352950004,0.978,0.945,0.98625
MLP,"(1516.558, 1525.285]",640,1521.872356153125,0.97,0.925,0.98125
MLP,"(1525.285, 1529.743]",640,1528.9622860625002,0.968125,0.9203125,0.980078125
MLP,"(1529.743, 1530.431]",480,1530.2009931833336,0.9508333333333333,0.8770833333333333,0.9692708333333333
MLP,"(1530.431, 1532.269]",640,1531.3836928875003,0.9793749999999999,0.9484375,0.987109375
MLP,"(1532.269, 1533.535]",560,1533.158190755357,0.9985714285714287,0.9964285714285714,0.9991071428571429
MLP,"(1533.535, 1546.196]",560,1542.2780260839288,0.9571428571428572,0.8928571428571429,0.9732142857142857
MLP,"(1546.196, 1547.486]",640,1547.234710057813,0.9893750000000001,0.9734375,0.993359375
MLP,"(1547.486, 1553.492]",560,1550.9431271321432,0.9807142857142858,0.9517857142857142,0.9879464285714286
MLP,"(1553.492, 1564.206]",720,1562.8603455069447,0.9005555555555556,0.7513888888888889,0.9378472222222223
MLP,"(1564.206, 1580.189]",400,1573.0413352950004,0.963,0.9075,0.976875
RandomForest,"(1516.558, 1525.285]",640,1521.872356153125,0.9806250000000001,0.9515625,0.987890625
RandomForest,"(1525.285, 1529.743]",640,1528.9622860625002,0.9724999999999999,0.93125,0.9828125
RandomForest,"(1529.743, 1530.431]",480,1530.2009931833336,0.9616666666666667,0.9041666666666667,0.9760416666666667
RandomForest,"(1530.431, 1532.269]",640,1531.3836928875003,0.985,0.9625,0.990625
RandomForest,"(1532.269, 1533.535]",560,1533.158190755357,0.9992857142857143,0.9982142857142857,0.9995535714285714
RandomForest,"(1533.535, 1546.196]",560,1542.2780260839288,0.9792857142857142,0.9482142857142857,0.9870535714285714
RandomForest,"(1546.196, 1547.486]",640,1547.234710057813,0.990625,0.9765625,0.994140625
RandomForest,"(1547.486, 1553.492]",560,1550.9431271321432,0.985,0.9625,0.990625
RandomForest,"(1553.492, 1564.206]",720,1562.8603455069447,0.9155555555555556,0.7888888888888889,0.9472222222222222
RandomForest,"(1564.206, 1580.189]",400,1573.0413352950004,0.9690000000000001,0.9225,0.980625
AdaBoost,"(1516.558, 1525.285]",640,1521.872356153125,0.9806250000000001,0.9515625,0.987890625
AdaBoost,"(1525.285, 1529.743]",640,1528.9622860625002,0.97,0.925,0.98125
AdaBoost,"(1529.743, 1530.431]",480,1530.2009931833336,0.9641666666666667,0.9104166666666667,0.9776041666666667
AdaBoost,"(1530.431, 1532.269]",640,1531.3836928875003,0.983125,0.9578125,0.989453125
AdaBoost,"(1532.269, 1533.535]",560,1533.158190755357,0.9978571428571428,0.9946428571428572,0.9986607142857142
AdaBoost,"(1533.535, 1546.196]",560,1542.2780260839288,0.9835714285714285,0.9589285714285715,0.9897321428571428
AdaBoost,"(1546.196, 1547.486]",640,1547.234710057813,0.991875,0.9796875,0.994921875
AdaBoost,"(1547.486, 1553.492]",560,1550.9431271321432,0.987857142857143,0.9696428571428571,0.9924107142857143
AdaBoost,"(1553.492, 1564.206]",720,1562.8603455069447,0.9055555555555556,0.7638888888888888,0.9409722222222222
AdaBoost,"(1564.206, 1580.189]",400,1573.0413352950004,0.976,0.94,0.985
MQ,"(1516.558, 1525.285]",640,1521.872356153125,0.945625,0.8640625,0.966015625
MQ,"(1525.285, 1529.743]",640,1528.9622860625002,0.8412499999999999,0.603125,0.90078125
MQ,"(1529.743, 1530.431]",480,1530.2009931833336,0.8275,0.56875,0.8921875
MQ,"(1530.431, 1532.269]",640,1531.3836928875003,0.9375,0.84375,0.9609375
MQ,"(1532.269, 1533.535]",560,1533.158190755357,1.0,1.0,1.0
MQ,"(1533.535, 1546.196]",560,1542.2780260839288,0.9492857142857143,0.8732142857142857,0.9683035714285714
MQ,"(1546.196, 1547.486]",640,1547.234710057813,0.99,0.975,0.99375
MQ,"(1547.486, 1553.492]",560,1550.9431271321432,0.9664285714285715,0.9160714285714285,0.9790178571428572
MQ,"(1553.492, 1564.206]",720,1562.8603455069447,0.8855555555555555,0.7138888888888889,0.9284722222222223
MQ,"(1564.206, 1580.189]",400,1573.0413352950004,0.846,0.625,0.9025
